name,iso3,value
Belgium,BEL,CFE-Treaty Member States
Canada,CAN,CFE-Treaty Member States
Denmark,DNK,CFE-Treaty Member States
France,FRA,CFE-Treaty Member States
Germany,DEU,CFE-Treaty Member States
Greece,GRC,CFE-Treaty Member States
Iceland,ISL,CFE-Treaty Member States
Italy,ITA,CFE-Treaty Member States
Luxembourg,LUX,CFE-Treaty Member States
Netherlands,NLD,CFE-Treaty Member States
Norway,NOR,CFE-Treaty Member States
Portugal,PRT,CFE-Treaty Member States
Spain,ESP,CFE-Treaty Member States
Turkey,TUR,CFE-Treaty Member States
United Kingdom,GBR,CFE-Treaty Member States
USA,USA,CFE-Treaty Member States
Bulgaria,BGR,CFE-Treaty Member States
Poland,POL,CFE-Treaty Member States
Romania,ROU,CFE-Treaty Member States
Czech Republic,CZE,CFE-Treaty Member States
Slovakia,SVK,CFE-Treaty Member States
Hungary,HUN,CFE-Treaty Member States
Russia,RUS,CFE-Treaty Member States
Ukraine,UKR,CFE-Treaty Member States
Armenia,ARM,CFE-Treaty Member States
Azerbaijan,AZE,CFE-Treaty Member States
Georgia,GEO,CFE-Treaty Member States
Belarus,BLR,CFE-Treaty Member States
Moldova,MDA,CFE-Treaty Member States
Kazakhstan,KAZ,CFE-Treaty Member States
