country,location,lat,long,station_type,category

Argentina,Paso Flores,40.7 S,70.6 W,3-component,Primary Seismological Station
Australia,"Warramunga,NT",19.9 S,134.3 E,Array,Primary Seismological Station
Argentina,Paso Flores,40.7 S,70.6 W,3-component,Primary Seismological Station
Australia,"Warramunga,NT",19.9 S,134.3 E,Array,Primary Seismological Station
Australia,"Alice Springs,NT",23.7 S,133.9 E,Array,Primary Seismological Station
Australia,"Stephens Creek,NSW",31.9 S,141.6 E,3-component,Primary Seismological Station
Australia,"Mawson,Antarctica",67.6 S,62.9 E,3-component,Primary Seismological Station
Bolivia,La Paz,16.3 S,68.1 W,3-component,Primary Seismological Station
Brazil,Brasilia,15.6 S,48.0 W,3-component,Primary Seismological Station
Canada,"Lac du Bonnet,Man.",50.2 N,95.9 W,3-component,Primary Seismological Station
Canada,"Yellowknife, N.W.T.",62.5 N,114.6 W,Array,Primary Seismological Station
Canada,"Schefferville,Quebec",54.8 N,66.8 W,3-component,Primary Seismological Station
Central African Republic,Bangui,5.2 N,18.4 E,3-component,Primary Seismological Station
China,Hailar,49.5 N,119.8 E,Array,Primary Seismological Station
China,Lanzhou,36.0 N,103.7 E,Array,Primary Seismological Station
Colombia,El Rosal,4.9 N,74.3 W,3-component,Primary Seismological Station
"Cote d´lvoire",Dimbokro,6.7 N,4.9 W,3-component,Primary Seismological Station
Egypt,Luxor,26.0 N,33.5 E,Array,Primary Seismological Station
Finland,Lahti,61.4 N,26.1 E,Array,Primary Seismological Station
France,Tahiti,17.6 S,149.6 W,3-component,Primary Seismological Station
Germany,Freyung,48.8 N,13.7 E,Array,Primary Seismological Station
"Iran (Islamic Republic of)",Tehran,35.9 N,51.1 E,3-component,Primary Seismological Station
Japan,Matsushiro,36.5 N,138.2 E,Array,Primary Seismological Station
Kazakhstan,Makanchi,46.8 N,82.3 E,Array,Primary Seismological Station
Kenya,Kilimambogo,1.1 S,37.3 E,3-component,Primary Seismological Station
Mongolia,Songino,47.8 N,106.4E,Array,Primary Seismological Station
Norway,Hamar,60.8 N,10.8 E,Array,Primary Seismological Station
Norway,Karasjok,69.5 N,25.5 E,Array,Primary Seismological Station
Pakistan,Pari,33.7 N,73.3 E,Array,Primary Seismological Station
Paraguay,Villa Florida,26.3 S,57.3 W,3-component,Primary Seismological Station
Republic of Korea,Wonju,37.5 N,127.9 E,Array,Primary Seismological Station
Russian Federation,Khabaz,43.7 N,42.9 E,3-component,Primary Seismological Station
Russian Federation,Zalesovo,53.9 N,84.8 E,Array,Primary Seismological Station
Russian Federation,Norilsk,69.3 N,87.6 E,3-component,Primary Seismological Station
