name,lat,long,variant,description
Dombarovskiy,51°01’27.29”N,59°47’58.11”E,RS-20,ICBM Base for Silo Launchers of ICBMs
Uzhur,55°16’05.74”N,89°44’50.15”E,RS-20,ICBM Base for Silo Launchers of ICBMs
Kozel’sk,53°56’37.77”N,35°46’10.36”E,RS-18,ICBM Base for Silo Launchers of ICBMs
Tatishchevo,51°41’54.91”N,45°32’24.78”E,RS-18 / RS-12M2 for silo launchers,ICBM Base for Silo Launchers of ICBMs
Teykovo,56°53’33.87”N,40°34’33.76”E, RS-12M / RS-12M2 for mobile launchers / RS-24,ICBM Base for Mobile Launchers of ICBMs
Yoshkar-Ola,56°33’41.56”N,48°03’42.78”E,RS-12M, ICBM Base for Mobile Launchers of ICBMs
Nizhniy Tagil,58°03’13.65”N,60°24’22.16”E,RS-12M,ICBM Base for Mobile Launchers of ICBMs
Novosibirsk,55°16’15.58”N,83°01’28.73”E,RS-12M,ICBM Base for Mobile Launchers of ICBMs
Irkutsk,52°19’45.04”N,104°23’49.63”E,RS-12M,ICBM Base for Mobile Launchers of ICBMs
Barnaul,53°33’43.17”N,83°47’50.14”E,RS-12M,ICBM Base for Mobile Launchers of ICBMs
Vypolzovo,57°52’20.12”N,33°39’11.38”E,RS-12M,ICBM Base for Mobile Launchers of ICBMs
Votkinsk Machine Building Plant (Votkinsk),57°02’36.46”N,53°59’10.61”E,RS-12M / RS-12M2 for silo launchers / RS-12M2 for mobile launchers / RS-24,Production Facility for ICBMs
M.V. Khrunichev Machine Building Plant (Moscow),55°45’27.79”N,37°29’25.79”E,RS-18,Production Facility for ICBMs
Barrikady Plant (Volgograd),48°46’38.83”N,44°35’03.96”E,RS-12M / RS-12M2 for mobile launchers / RS-24,Production Facility for Mobile Launchers of ICBMs
Surovatikha,55°42’54.15”N,43°52’34.80”E,RS-12M / RS-18 / RS-20,Storage Facility for ICBMs
Piban’shur,57°51’29.21”N,53°16’44.33”E,RS-18,Storage Facility for ICBMs and Mobile Launchers of ICBMs
Khrizolitovyy,56°40’46.93”N,61°05’57.48”E,RS-12M / RS-12M2 / RS-18 / RS-20,Storage Facility for ICBMs
Plesetsk,62°45’45.46”N,40°22’14.55”E,RS-18,Storage Facility for ICBMs
Znamenka,62°45’45.46”N,40°22’14.55”E,RS-18,Storage Facility for ICBMs
Serpukhov,54°53’51.69”N,37°22’51.81”E,RS-12M,Training Facility
Balabanovo,55°11’30.76”N,36°37’20.47”E,RS-12M / RS-18,Training Facility
