Country,Year,Released National Strategy on AI
Finland,2017,1
China,2017,1
Canada,2017,1
India,2018,1
Mauritius,2018,1
Australia,2018,1
Mexico,2018,1
France,2018,1
Germany,2018,1
Sweden,2018,1
Estonia,2019,1
Russian Federation,2019,1
Kenya,2019,1
Egypt,2019,1
Qatar,2019,1
Portugal,2019,1
Japan,2019,1
Netherlands,2019,1
Malta,2019,1
Romania,2019,1
Denmark,2019,1
Czech Republic,2019,1
Cyprus,2019,1
Argentina,2019,1
Uruguay,2019,1
Austria,2019,1
United States of America,2019,1
United Arab Emirates,2019,1
Bangladesh,2019,1
Lithuania,2019,1
Luxembourg,2019,1
Singapore,2019,1
Chile,2019,1
Colombia,2019,1
Sierra Leone,2019,1
Botswana,2019,1
Spain,2020,1
Poland,2020,1
Norway,2020,1
Saudi Arabia,2020,1
Serbia,2020,1
Switzerland,2020,1
Algeria,2020,1
South Korea,2020,1
Bulgaria,2020,1
Croatia,2020,1
Latvia,2020,1
Indonesia,2020,1
Greece,2020,1
Hungary,2020,1
Armenia,2021,0
United Kingdom,2021,1
Bahrain,2021,0
Ukraine,2021,1
Turkey,2021,1
Tunisia,2021,1
Brazil,2021,1
Slovenia,2021,1
Cuba,2021,0
Ireland,2021,1
Morocco,2021,0
New Zealand,2021,0
Iceland,2021,0
Vietnam,2021,1
Peru,2021,1
Philippines,2021,1
Oman,2021,0
Benin,2022,0
Belgium,2022,0
Thailand,2022,1
Nigeria,2022,0
Jordan,2022,0
Israel,2022,0
Azerbaijan,2022,0
Uzbekistan,2022,0
Italy,2022,1
