year,Cumulative Launches per year
1957,0.02
1958,0.11
1959,0.32
1960,0.68
1961,1.48
1962,2.9
1963,4.01
1964,5.63
1965,7.79
1966,9.69
1967,11.67
1968,13.4
1969,15.13
1970,16.8
1971,18.67
1972,20.35
1973,22.02
1974,23.5
1975,25.3
1976,27.57
1977,29.6
1978,31.66
1979,33.36
1980,35.35
1981,37.46
1982,39.96
1983,42.87
1984,45.2
1985,47.68
1986,49.49
1987,51.3
1988,53.67
1989,55.78
1990,58.33
1991,60
1992,61.78
1993,63.26
1994,65.01
1995,66.47
1996,67.71
1997,69.56
1998,71.28
1999,72.66
2000,74.22
2001,75.24
2002,76.31
2003,77.38
2004,78.19
2005,78.98
2006,80.09
2007,81.36
2008,82.46
2009,83.81
2010,85.1
2011,86.47
2012,87.86
2013,89.98
2014,93.78
2015,96.23
2016,98.48
2017,102.99
2018,108.8
2019,114.19
2020,126.93
2021,145.25
2022,170.37
2023,199.69
2024,228.44
2025,274.19
