year,Launches per year
1957,0.02
1958,0.09
1959,0.21
1960,0.36
1961,0.8
1962,1.42
1963,1.11
1964,1.62
1965,2.16
1966,1.9
1967,1.98
1968,1.73
1969,1.73
1970,1.67
1971,1.87
1972,1.68
1973,1.67
1974,1.48
1975,1.8
1976,2.27
1977,2.03
1978,2.06
1979,1.7
1980,1.99
1981,2.11
1982,2.5
1983,2.91
1984,2.33
1985,2.48
1986,1.81
1987,1.81
1988,2.37
1989,2.11
1990,2.55
1991,1.67
1992,1.78
1993,1.48
1994,1.75
1995,1.46
1996,1.24
1997,1.85
1998,1.72
1999,1.38
2000,1.56
2001,1.02
2002,1.07
2003,1.07
2004,0.81
2005,0.79
2006,1.11
2007,1.27
2008,1.1
2009,1.35
2010,1.29
2011,1.37
2012,1.39
2013,2.12
2014,3.8
2015,2.45
2016,2.25
2017,4.51
2018,5.81
2019,5.39
2020,12.74
2021,18.32
2022,25.12
2023,29.32
2024,28.75
2025,45.75
