institutions,cities,start_year
Cornell University,"Ithaca, New York",1984
Fachinformationsverbund “Internationale Beziehungen und Länderkunde“,Berlin;Hamburg;Ludwigsburg;Stuttgart;Regensburg;Bonn,1993
Hebrew University,Jerusalem,2010
"EU Non-Proliferation Consortium: Fondation pour la recherche strategique (FRS, Paris), International Institute for Strategic Studies (IISS, London), Stockholm International Peace Research Institute (SIPRI), Vienna Center for Disarmament and Non-Proliferation (VCD-NP), International Affairs Institute Rom (IAI)","Paris;Stockholm;Vienna, Austria;Rome",2010
OSCE Network of Think Tanks and Academic Institutions (55 Einrichtungen),"Stuttgart;Baku;Istanbul;Yerevan;Kaunas, Lithuania;Ankara;Washington DC;Seoul;The Hague;Prague;Vienna, Austria;Stadtschlaining, Austria;Belgrade;College Station, Texas;Austin, Texas;Zürich;Podgorica, Montenegro;Maryland, USA;Menges, Slovenia;Groningen;Helsinki;Minsk;Almaty, Kazakhstan;Bucharest;Copenhagen;Tromso, Norway;Graz;Sofia;Montreal;Geneva;Madrid;Cambridge, Mass;Ljubljana;Boston;Uppsala;Innsbruck;Exeter;Kyiv;Maynooth, Ireland;Brussels;Cambridge, UK;Flensburg;Chisinau, Moldova;Riga;Vilnius;Tbilisi;Bratislava;New York;Athens, Greece;Medford, US;Birmingham, UK;Tirana;Skopje, North Macedonia;Ulaanbaatar;Reykjavik;Sanremo, Italy;Klaipeda, Lithuania;Heidelberg;Gießen;Maastricht;Msida, Malta;Oslo, Norway;Odessa;Bishkek, Kyrgyzstan;Warsaw;Cracow;St. Arlington US;Bremen;Osaka;San Diego CA;Göteborg;St Andrews, UK;Liverpool;Nicosia;Budapest;Solna, Sweden;Bern;Tampere, Finland;Lviv, Ukraine;Bath, UK; Chichester, UK;Sarajevo;Odense, Denmark;Trento, Italy;Utrecht;Zagreb;Glasgow;Joensuu, Finland;Volgograd;Evanston, US;Washington DC;Friedrichshafen",2013
Leibniz-Netzwerk “Umweltkrisen - Krisenumwelten“,Hamburg;Mannheim;München;Halle;Großbeeren;Erkner;Dresden;Leipzig;Müncheberg;Bremen;Potsdam,
Leibniz-Forschungsverbund „Wert der Vergangenheit“,Bochum;München;Bremerhaven;Braunschweig;Nürnberg;Leipzig;Marburg;Mannheim;Mainz;Tübingen,
"Jean-Monnet-Netzwerk Interparliamentary Cooperation in EU External Action… (PACO): Universitäten KU Leuven und Gent Belgien), Maastricht (Niederlande), Oslo (Norwegen), Warwick (UK), Sabanci Universität Istanbul (Türkei)","Leuven, Belgien, Belgien;Gent, Belgien;Maastricht;Oslo;Warwick, UK;Istanbul",
"Forschungsnetzwerk Externe Demokratisierungspolitik (EDP): Deutsches Institut für Entwicklungspolitik (IDOS, Bonn), Humboldt-Uni Berlin, Leuphana Universität Lüneburg, Universität Erfurt, Universität Konstanz, Wissenschaftszentrum Berlin für Sozialforschung",Berlin;Lüneburg;Erfurt;Konstanz,
CAPAZ,"Gießen;Göttingen;Berlin;Freiburg;Bogotá, Columbia",
"Internationaler Erasmus Mundus Masterstudiengang: Dublin City University, Karls-Universität Prag, University of Glasgow",Dublin;Prague;Glasgow,
EuroMeSCo,"Barcelona;Tunis;Beirut;Hevel Eilot, Israel;Rabat;Marseille;Amman;Split;San Domenico di Fiesole, Italy;Toulon, France;Louvain-la-Neuve, Belgium;Birkhadem Alger;Tel Aviv;Gammarth, Tunisia;Zagreb;Naples, Italy;Milan;Catania, Sicily; Carthage, Tunisia;Talence, France;Ramat Gan, Israel;Lisboa;Gaza, Palestine;Al-Quds, Israel;Nicosia;Sin el Fil, Lebanon;Be’er Sheva, Israel";Izmir;Macerata;Temara;Fes;Piran;Casablanca;Jeddah;Pretoria,
IPSS in Addis Abeba,Addis Abeba,2023
"GNET: King’s College London, RSIS Singapur, Lowy Institute Sydney Australien","London, UK;Singapore;Sydney, Australia",
"ACONA: Woodrow Wilson Center Washington DC, University of Iceland Reykjavik, Higher School of Economics Moscow, Moscow State Institute of International Relations (gibt es diese Kooperationen noch?)",Washington DC;Reykjavik;Moscow,
"Goethe-Universität Frankfurt/M. (Masterstudiengang, Ausbildungsleistungen, Promovierendenbetreuung, gemeinsames Weiterbildungsprogramm für Wissenschaftlerinnen)",Frankfurt,1997
"Technische Universität Darmstadt (Masterstudiengang, Ausbildungsleistungen, Promovierendenbetreuung)",Darmstadt,2005
Leibniz Institute for Research and Information in Education (DIPF),Frankfurt,
Zentrum für Konfliktforschung der Philipps-Universität Marburg,Marburg,
Justus-Liebig-Universität Gießen,Gießen,
Deutsches Polen-Institut Darmstadt,Darmstadt,
"Herder-Institut für historische Ostmitteleuropaforschung, Marburg",Marburg,
"TraCe mit Goethe-Uni, Uni Gießen, Marburg, TU Darmstadt",Darmstadt,
ANCIP mit Unis Leipzig und Duisburg-Essen,Essen,
"CBWNet mit Berliner Büro des Instituts für Friedensforschung und Sicherheitspolitik (IFSH) an der Universität Hamburg, der Professur für Öffentliches Recht und Völkerrecht an der Justus-Liebig-Universität Gießen und dem Carl Friedrich von Weizsäcker Zentrum für Naturwissenschaft und Friedensforschung (ZNF) an der Universität Hamburg","Berlin;Hamburg;Banjul;Accra,Ghana;Ouagadougou;Brussels;Bologna;Cairo;Hannover;Amsterdam;Düsseldorf;Juba;Köln;Kühlungsborn;Milton Keynes, UK;Reading;Shanghai;St. Gallen;Tuzla;Warnemünde",
Neue Kooperationen 2024,Langen;Wiesbaden;Bielefeld;Wuppertal;Jena;Tallinn,2024

