name,institution,city,country
Jusaima Moaid-azm Peregrina,"Universidad de Granada",Granada,Spain
Santiago Lopez Alvarez,Rice University,"Houston, TX",United States
Christoph Humrich,University Groningen,Groningen,Netherlands
Mónica Chinchilla,"Universidad de Navarra",Pamplona,Spain
Zhou Yiqi,Shanghai Institut für Inter­nationale Studien,Shanghai,China
Xie Peixuan,Peking University,Beijing,China
Nicole Doerr,University of Copenhagen,Copenhagen,Denmark
Gilbert Khadiagala,Witwaterstrand U Johannesburg,Johannesburg,South Africa
Annika Björkdahl,Lund University,Lund,Sweden
Anindya Sekhar Purakayastha,Kazi Nazrul University,Asansol,India
Jonah Schulhofer-Wohl,Leiden University,Leiden,Netherlands
Alex Kuehl,American University,Washington DC,United States
