institutions,description,start_year,cities,countries,countries_a3,is_new
Cornell University,,,"Ithaca, New York",United States,USA,FALSE
Fachinformationsverbund “Internationale Beziehungen und Länderkunde“,Mitarbeit der HSFK-Bibliothek im Fachinformationsverbund,,"Berlin, Hamburg, Ludwigsburg, Stuttgart, Regensburg, Bonn",Germany,DEU,FALSE
Hebrew University,,,Jerusalem,Israel,ISR,FALSE
"EU Non-Proliferation Consortium: Fondation pour la recherche strategique (FRS, Paris), International Institute for Strategic Studies (IISS, London), Stockholm International Peace Research Institute (SIPRI), Vienna Center for Disarmament and Non-Proliferation (VCD-NP), International Affairs Institute Rom (IAI)",,,,Sweden,SWE,FALSE
OSCE Network of Think Tanks and Academic Institutions (55 Einrichtungen),,,"Stuttgart, Baku, Istanbul, Yerevan, Kaunas Lithuania, Ankara, Washington DC, Seoul, The Hague, Prague, Vienna, Stadtschlaining Austria, Belgrade, College Station Texas, Austin Texas, Zürich, Podgorica Montenegro, Maryland USA, Menges Slovenia, Groningen, Helsinki, Minsk, Almaty Kazakhstan, Bucharest, Copenhagen, Tromso Norway, Graz Austria, Sofia, Montreal, Geneva, Madrid, Cambridge US, Ljubljana, Boston, Uppsala, Innsbruck, Exeter UK, Kyiv, Maynooth Ireland, Brussels, Cambridge UK, Flensburg, Chisinau Moldova, Riga, Vilnius, Tbilisi, Bratislava, New York, Athens Greece, Medford US, Birmingham UK, Tirana, Skopje North Macedonia, Ulaanbaatar, Reykjavik, Sanremo Italy, Klaipeda Lithuania, Heidelberg, Gießen, Maastricht, Msida Malta, Oslo Norway, Odessa, Bishkek Kyrgyzstan, Warsaw, Cracow, St. Arlington US, Bremen, Osaka, San Diego CA, Göteborg, St Andrews UK, Liverpool, Nicosia, Budapest, Solna Sweden, Bern, Tampere Finland, Lviv Ukraine, Bath UK, Chichester UK, Sarajevo, Odense Denmark, Trento Italy, Utrecht, Zagreb, Glasgow, Joensuu Finland, Volgograd, Evanston US, Washington DC, Friedrichshafen",Turkey,TUR,FALSE
Leibniz-Netzwerk “Umweltkrisen - Krisenumwelten“,,,"Hamburg, Mannheim, München, Halle, Großbeeren, Erkner, Dresden, Leipzig, Müncheberg, Bremen, Potsdam",Germany,DEU,FALSE
Leibniz-Forschungsverbund „Wert der Vergangenheit“,,,"Bochum, München, Bremerhaven, Braunschweig, Nürnberg, Leipzig, Marburg, Mannheim, Mainz, Tübingen",Germany,DEU,FALSE
"Jean-Monnet-Netzwerk Interparliamentary Cooperation in EU External Action… (PACO): Universitäten KU Leuven und Gent Belgien), Maastricht (Niederlande), Oslo (Norwegen), Warwick (UK), Sabanci Universität Istanbul (Türkei)",,,,Netherlands,NLD,FALSE
"Forschungsnetzwerk Externe Demokratisierungspolitik (EDP): Deutsches Institut für Entwicklungspolitik (IDOS, Bonn), Humboldt-Uni Berlin, Leuphana Universität Lüneburg, Universität Erfurt, Universität Konstanz, Wissenschaftszentrum Berlin für Sozialforschung",,,,Germany,DEU,FALSE
CAPAZ,,,"Gießen, Göttingen, Berlin, Freiburg, Bogotá",Columbia,COL,FALSE
"Internationaler Erasmus Mundus Masterstudiengang: Dublin City University, Karls-Universität Prag, University of Glasgow",,,,United Kingdom,GBR,FALSE
